hlpi_name,year,hlpi,nzhec,nzhec_name,nzhec_short,level,nzhec1,nzhec1_name,nzhec1_short,weight,exp_pw,eqv_exp_pw
Expenditure quintile 2,2008,expq2,5.6,Other household supplies and services,Other supplies and services,subgroup,5,Household contents and services,Contents and services,1,5.7,3.5
Expenditure quintile 2,2008,expq2,6,Health,Health,group,6,Health,Health,4.5,25.3,15.8
Expenditure quintile 2,2008,expq2,6.1,"Medical products, appliances and equipment",Medical products,subgroup,6,Health,Health,1.2,6.9,4.3
Expenditure quintile 2,2008,expq2,6.2,Out-patient services,Out-patient services,subgroup,6,Health,Health,2.8,15.5,9.6
Expenditure quintile 2,2008,expq2,6.3,Hospital services,Hospital services,subgroup,6,Health,Health,0.5,3,1.9
Expenditure quintile 2,2008,expq2,7,Transport,Transport,group,7,Transport,Transport,12.4,69,43
Expenditure quintile 2,2008,expq2,7.1,Purchase of vehicles,Vehicles,subgroup,7,Transport,Transport,0.9,5.2,3.3
Expenditure quintile 2,2008,expq2,7.2,Private transport supplies and services,Private transport supplies,subgroup,7,Transport,Transport,9.7,54.4,33.9
Expenditure quintile 2,2008,expq2,7.3,Passenger transport services,Passenger transport,subgroup,7,Transport,Transport,1.7,9.4,5.9
Expenditure quintile 2,2008,expq2,8,Communication,Communication,group,8,Communication,Communication,3.6,19.9,12.4
Expenditure quintile 2,2008,expq2,8.1,Postal services,Postal services,subgroup,8,Communication,Communication,0.2,1,0.6
Expenditure quintile 2,2008,expq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,8,Communication,Communication,0.1,0.3,0.2
Expenditure quintile 2,2008,expq2,8.3,Telecommunication services,Telecommunication services,subgroup,8,Communication,Communication,3.3,18.6,11.6
Expenditure quintile 2,2008,expq2,9,Recreation and culture,Recreation and culture,group,9,Recreation and culture,Recreation and culture,7.3,40.6,25.3
Expenditure quintile 2,2008,expq2,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,9,Recreation and culture,Recreation and culture,1.4,7.6,4.7
Expenditure quintile 2,2008,expq2,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,9,Recreation and culture,Recreation and culture,0.1,0.3,0.2
Expenditure quintile 2,2008,expq2,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,9,Recreation and culture,Recreation and culture,1.9,10.4,6.5
Expenditure quintile 2,2008,expq2,9.4,Recreational and cultural services,Rec & cultural services,subgroup,9,Recreation and culture,Recreation and culture,1.8,10.2,6.4
Expenditure quintile 2,2008,expq2,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,9,Recreation and culture,Recreation and culture,1.4,8.1,5
Expenditure quintile 2,2008,expq2,9.6,Accommodation services,Accomodation,subgroup,9,Recreation and culture,Recreation and culture,0.3,1.8,1.1
Expenditure quintile 2,2008,expq2,10,Education,Education,group,10,Education,Education,0.8,4.2,2.6
Expenditure quintile 2,2008,expq2,10.1,Early childhood education,Early childhood education,subgroup,10,Education,Education,0.1,0.7,0.5
Expenditure quintile 2,2008,expq2,10.2,Primary and secondary education,Primary/secondary education,subgroup,10,Education,Education,0.2,1.2,0.7
Expenditure quintile 2,2008,expq2,10.3,Tertiary and other post school education,Tertiary education,subgroup,10,Education,Education,0.4,2.2,1.4
Expenditure quintile 2,2008,expq2,10.4,Other educational fees,Other education,subgroup,10,Education,Education,0,0.1,0
Expenditure quintile 2,2008,expq2,11,Miscellaneous goods and services,Miscellaneous,group,11,Miscellaneous goods and services,Miscellaneous,9.7,54.2,33.8
Expenditure quintile 2,2008,expq2,11.1,Personal care,Personal care,subgroup,11,Miscellaneous goods and services,Miscellaneous,2.2,12.5,7.8
Expenditure quintile 2,2008,expq2,11.3,Personal effects,Personal effects,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.3,1.6,1
Expenditure quintile 2,2008,expq2,11.4,Insurance,Insurance,subgroup,11,Miscellaneous goods and services,Miscellaneous,4.1,22.9,14.3
Expenditure quintile 2,2008,expq2,11.5,Credit services,Credit services,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.5,3.1,1.9
Expenditure quintile 2,2008,expq2,11.6,Other miscellaneous services,Miscellaneous services,subgroup,11,Miscellaneous goods and services,Miscellaneous,2.6,14.2,8.9
Expenditure quintile 2,2008,expq2,13,Other expenditure,Interest,group,13,Other expenditure,Interest,5.4,30.1,18.7
Expenditure quintile 2,2008,expq2,13.1,Interest payments,Interest,subgroup,13,Other expenditure,Interest,5.4,30.1,18.7
Expenditure quintile 2,2008,expq2,04.1.01,Actual rentals for housing,Rent,class,4,Housing and household utilities,Housing,11.9,66.5,41.4
Expenditure quintile 2,2008,expq2,04.4.03,Local authority rates and payments,Local authority rates,class,4,Housing and household utilities,Housing,3.5,19.7,12.3
Expenditure quintile 2,2008,expq2,04.5.01,Electricity,Electricity,class,4,Housing and household utilities,Housing,5.4,29.8,18.6
Expenditure quintile 2,2008,expq2,07.2.02,Petrol,Petrol,class,7,Transport,Transport,6.4,35.8,22.3
Expenditure quintile 3,2008,expq3,1,Food,Food,group,1,Food,Food,18.9,154.2,90.9
Expenditure quintile 3,2008,expq3,1.1,Fruit and vegetables,Fruit & veg,subgroup,1,Food,Food,2.6,21.3,12.5
Expenditure quintile 3,2008,expq3,1.2,"Meat, poultry and fish",Meat,subgroup,1,Food,Food,3.1,25.4,15
Expenditure quintile 3,2008,expq3,1.3,Grocery food,Grocery food,subgroup,1,Food,Food,7.8,63.5,37.4
Expenditure quintile 3,2008,expq3,1.4,Non-alcoholic beverages,Soft drinks,subgroup,1,Food,Food,1.8,14.9,8.8
Expenditure quintile 3,2008,expq3,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,1,Food,Food,3.6,29.2,17.2
Expenditure quintile 3,2008,expq3,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,2,Alcoholic beverages and tobacco,Alcohol and tobacco,5.9,48,28.3
Expenditure quintile 3,2008,expq3,2.1,Alcoholic beverages,Alcohol,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,3.7,30.1,17.7
Expenditure quintile 3,2008,expq3,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,2.2,17.9,10.5
Expenditure quintile 3,2008,expq3,3,Clothing and footwear,Clothing and footwear,group,3,Clothing and footwear,Clothing and footwear,3.8,30.9,18.2
Expenditure quintile 3,2008,expq3,3.1,Clothing,Clothing,subgroup,3,Clothing and footwear,Clothing and footwear,3.1,25.1,14.8
Expenditure quintile 3,2008,expq3,3.2,Footwear,Footwear,subgroup,3,Clothing and footwear,Clothing and footwear,0.7,5.8,3.4
Expenditure quintile 3,2008,expq3,4,Housing and household utilities,Housing,group,4,Housing and household utilities,Housing,20.6,168.8,99.4
Expenditure quintile 3,2008,expq3,4.1,Actual rentals for housing,Rent,subgroup,4,Housing and household utilities,Housing,11.3,92.5,54.5
Expenditure quintile 3,2008,expq3,4.3,Property maintenance,Property maintenance,subgroup,4,Housing and household utilities,Housing,1.9,15.6,9.2
Expenditure quintile 3,2008,expq3,4.4,Property rates and related services,Property rates,subgroup,4,Housing and household utilities,Housing,2.9,23.8,14
Expenditure quintile 3,2008,expq3,4.5,Household energy,Household energy,subgroup,4,Housing and household utilities,Housing,4.5,36.8,21.7
Expenditure quintile 3,2008,expq3,5,Household contents and services,Contents and services,group,5,Household contents and services,Contents and services,4.2,34.4,20.3
Expenditure quintile 3,2008,expq3,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,5,Household contents and services,Contents and services,1.2,9.5,5.6
Expenditure quintile 3,2008,expq3,5.2,Household textiles,Textiles,subgroup,5,Household contents and services,Contents and services,0.4,3.4,2
Expenditure quintile 3,2008,expq3,5.3,Household appliances,Appliances,subgroup,5,Household contents and services,Contents and services,1.2,9.7,5.7
Expenditure quintile 3,2008,expq3,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,5,Household contents and services,Contents and services,0.1,1.2,0.7
Expenditure quintile 3,2008,expq3,5.5,Tools and equipment for house and garden,Tools,subgroup,5,Household contents and services,Contents and services,0.5,4,2.4
Expenditure quintile 3,2008,expq3,5.6,Other household supplies and services,Other supplies and services,subgroup,5,Household contents and services,Contents and services,0.8,6.5,3.8
Expenditure quintile 3,2008,expq3,6,Health,Health,group,6,Health,Health,3.4,28.1,16.5
Expenditure quintile 3,2008,expq3,6.1,"Medical products, appliances and equipment",Medical products,subgroup,6,Health,Health,0.9,7.4,4.3
Expenditure quintile 3,2008,expq3,6.2,Out-patient services,Out-patient services,subgroup,6,Health,Health,2.2,18.1,10.7
Expenditure quintile 3,2008,expq3,6.3,Hospital services,Hospital services,subgroup,6,Health,Health,0.3,2.6,1.5
Expenditure quintile 3,2008,expq3,7,Transport,Transport,group,7,Transport,Transport,13.3,109.1,64.3
Expenditure quintile 3,2008,expq3,7.1,Purchase of vehicles,Vehicles,subgroup,7,Transport,Transport,1.5,12,7.1
Expenditure quintile 3,2008,expq3,7.2,Private transport supplies and services,Private transport supplies,subgroup,7,Transport,Transport,9.4,77,45.3
Expenditure quintile 3,2008,expq3,7.3,Passenger transport services,Passenger transport,subgroup,7,Transport,Transport,2.5,20.1,11.9
Expenditure quintile 3,2008,expq3,8,Communication,Communication,group,8,Communication,Communication,3.2,26,15.3
Expenditure quintile 3,2008,expq3,8.1,Postal services,Postal services,subgroup,8,Communication,Communication,0.2,1.6,0.9
Expenditure quintile 3,2008,expq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,8,Communication,Communication,0.1,1.1,0.7
Expenditure quintile 3,2008,expq3,8.3,Telecommunication services,Telecommunication services,subgroup,8,Communication,Communication,2.8,23.3,13.7
Expenditure quintile 3,2008,expq3,9,Recreation and culture,Recreation and culture,group,9,Recreation and culture,Recreation and culture,8.8,72.2,42.5
Expenditure quintile 3,2008,expq3,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,9,Recreation and culture,Recreation and culture,1.7,14,8.3
Expenditure quintile 3,2008,expq3,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,9,Recreation and culture,Recreation and culture,0.1,1.2,0.7
Expenditure quintile 3,2008,expq3,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,9,Recreation and culture,Recreation and culture,1.8,14.8,8.7
Expenditure quintile 3,2008,expq3,9.4,Recreational and cultural services,Rec & cultural services,subgroup,9,Recreation and culture,Recreation and culture,2.6,21.2,12.5
Expenditure quintile 3,2008,expq3,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,9,Recreation and culture,Recreation and culture,1.6,12.8,7.5
Expenditure quintile 3,2008,expq3,9.6,Accommodation services,Accomodation,subgroup,9,Recreation and culture,Recreation and culture,0.4,3.3,1.9
Expenditure quintile 3,2008,expq3,10,Education,Education,group,10,Education,Education,1.6,13.2,7.8
Expenditure quintile 3,2008,expq3,10.1,Early childhood education,Early childhood education,subgroup,10,Education,Education,0.2,1.6,0.9
Expenditure quintile 3,2008,expq3,10.2,Primary and secondary education,Primary/secondary education,subgroup,10,Education,Education,0.7,5.6,3.3
Expenditure quintile 3,2008,expq3,10.3,Tertiary and other post school education,Tertiary education,subgroup,10,Education,Education,0.7,5.5,3.2
Expenditure quintile 3,2008,expq3,10.4,Other educational fees,Other education,subgroup,10,Education,Education,0.1,0.5,0.3
Expenditure quintile 3,2008,expq3,11,Miscellaneous goods and services,Miscellaneous,group,11,Miscellaneous goods and services,Miscellaneous,9.3,75.9,44.7
Expenditure quintile 3,2008,expq3,11.1,Personal care,Personal care,subgroup,11,Miscellaneous goods and services,Miscellaneous,2.3,19.1,11.3
Expenditure quintile 3,2008,expq3,11.3,Personal effects,Personal effects,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.3,2.2,1.3
Expenditure quintile 3,2008,expq3,11.4,Insurance,Insurance,subgroup,11,Miscellaneous goods and services,Miscellaneous,4.2,34.1,20.1
Expenditure quintile 3,2008,expq3,11.5,Credit services,Credit services,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.6,4.8,2.8
Expenditure quintile 3,2008,expq3,11.6,Other miscellaneous services,Miscellaneous services,subgroup,11,Miscellaneous goods and services,Miscellaneous,1.9,15.7,9.2
Expenditure quintile 3,2008,expq3,13,Other expenditure,Interest,group,13,Other expenditure,Interest,7,57.4,33.8
Expenditure quintile 3,2008,expq3,13.1,Interest payments,Interest,subgroup,13,Other expenditure,Interest,7,57.4,33.8
Expenditure quintile 3,2008,expq3,04.1.01,Actual rentals for housing,Rent,class,4,Housing and household utilities,Housing,11.3,92.5,54.5
Expenditure quintile 3,2008,expq3,04.4.03,Local authority rates and payments,Local authority rates,class,4,Housing and household utilities,Housing,2.5,20.4,12
Expenditure quintile 3,2008,expq3,04.5.01,Electricity,Electricity,class,4,Housing and household utilities,Housing,3.9,32.3,19
Expenditure quintile 3,2008,expq3,07.2.02,Petrol,Petrol,class,7,Transport,Transport,5.7,46.8,27.6
Expenditure quintile 4,2008,expq4,1,Food,Food,group,1,Food,Food,16.7,189.4,109.6
Expenditure quintile 4,2008,expq4,1.1,Fruit and vegetables,Fruit & veg,subgroup,1,Food,Food,2.3,26.5,15.3
Expenditure quintile 4,2008,expq4,1.2,"Meat, poultry and fish",Meat,subgroup,1,Food,Food,2.6,29.8,17.3
Expenditure quintile 4,2008,expq4,1.3,Grocery food,Grocery food,subgroup,1,Food,Food,6.5,73.7,42.7
Expenditure quintile 4,2008,expq4,1.4,Non-alcoholic beverages,Soft drinks,subgroup,1,Food,Food,1.7,19.4,11.2
Expenditure quintile 4,2008,expq4,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,1,Food,Food,3.5,39.9,23.1
Expenditure quintile 4,2008,expq4,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,2,Alcoholic beverages and tobacco,Alcohol and tobacco,6.7,75.8,43.9
Expenditure quintile 4,2008,expq4,2.1,Alcoholic beverages,Alcohol,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,4.8,54.2,31.4
Expenditure quintile 4,2008,expq4,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,1.9,21.6,12.5
Expenditure quintile 4,2008,expq4,3,Clothing and footwear,Clothing and footwear,group,3,Clothing and footwear,Clothing and footwear,3.9,43.9,25.4
Expenditure quintile 4,2008,expq4,3.1,Clothing,Clothing,subgroup,3,Clothing and footwear,Clothing and footwear,3.1,35.6,20.6
Expenditure quintile 4,2008,expq4,3.2,Footwear,Footwear,subgroup,3,Clothing and footwear,Clothing and footwear,0.7,8.3,4.8
Expenditure quintile 4,2008,expq4,4,Housing and household utilities,Housing,group,4,Housing and household utilities,Housing,14.5,164.5,95.2
Expenditure quintile 4,2008,expq4,4.1,Actual rentals for housing,Rent,subgroup,4,Housing and household utilities,Housing,6.6,74.8,43.3
Expenditure quintile 4,2008,expq4,4.3,Property maintenance,Property maintenance,subgroup,4,Housing and household utilities,Housing,1.7,18.8,10.9
Expenditure quintile 4,2008,expq4,4.4,Property rates and related services,Property rates,subgroup,4,Housing and household utilities,Housing,2.7,30.6,17.7
Expenditure quintile 4,2008,expq4,4.5,Household energy,Household energy,subgroup,4,Housing and household utilities,Housing,3.6,40.2,23.3
Expenditure quintile 4,2008,expq4,5,Household contents and services,Contents and services,group,5,Household contents and services,Contents and services,4.8,54.8,31.7
Expenditure quintile 4,2008,expq4,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,5,Household contents and services,Contents and services,1.6,17.7,10.3
Expenditure quintile 4,2008,expq4,5.2,Household textiles,Textiles,subgroup,5,Household contents and services,Contents and services,0.4,4.2,2.4
Expenditure quintile 4,2008,expq4,5.3,Household appliances,Appliances,subgroup,5,Household contents and services,Contents and services,1.4,15.6,9
Expenditure quintile 4,2008,expq4,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,5,Household contents and services,Contents and services,0.2,2.6,1.5
Expenditure quintile 4,2008,expq4,5.5,Tools and equipment for house and garden,Tools,subgroup,5,Household contents and services,Contents and services,0.5,6.1,3.6
Expenditure quintile 4,2008,expq4,5.6,Other household supplies and services,Other supplies and services,subgroup,5,Household contents and services,Contents and services,0.8,8.6,5
Expenditure quintile 4,2008,expq4,6,Health,Health,group,6,Health,Health,4.5,51.3,29.7
Expenditure quintile 4,2008,expq4,6.1,"Medical products, appliances and equipment",Medical products,subgroup,6,Health,Health,1,11.3,6.5
Expenditure quintile 4,2008,expq4,6.2,Out-patient services,Out-patient services,subgroup,6,Health,Health,3.2,36.2,20.9
Expenditure quintile 4,2008,expq4,6.3,Hospital services,Hospital services,subgroup,6,Health,Health,0.3,3.9,2.2
Expenditure quintile 4,2008,expq4,7,Transport,Transport,group,7,Transport,Transport,15.2,171.9,99.5
Expenditure quintile 4,2008,expq4,7.1,Purchase of vehicles,Vehicles,subgroup,7,Transport,Transport,3.3,36.9,21.4
Expenditure quintile 4,2008,expq4,7.2,Private transport supplies and services,Private transport supplies,subgroup,7,Transport,Transport,8.6,97.6,56.5
Expenditure quintile 4,2008,expq4,7.3,Passenger transport services,Passenger transport,subgroup,7,Transport,Transport,3.3,37.3,21.6
Expenditure quintile 4,2008,expq4,8,Communication,Communication,group,8,Communication,Communication,3.3,37.1,21.5
Expenditure quintile 4,2008,expq4,8.1,Postal services,Postal services,subgroup,8,Communication,Communication,0.1,1.4,0.8
Expenditure quintile 4,2008,expq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,8,Communication,Communication,0.3,3.3,1.9
Expenditure quintile 4,2008,expq4,8.3,Telecommunication services,Telecommunication services,subgroup,8,Communication,Communication,2.9,32.4,18.7
Expenditure quintile 4,2008,expq4,9,Recreation and culture,Recreation and culture,group,9,Recreation and culture,Recreation and culture,9.5,107.6,62.3
Expenditure quintile 4,2008,expq4,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,9,Recreation and culture,Recreation and culture,1.9,21.9,12.7
Expenditure quintile 4,2008,expq4,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,9,Recreation and culture,Recreation and culture,0.2,2.4,1.4
Expenditure quintile 4,2008,expq4,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,9,Recreation and culture,Recreation and culture,2,23.1,13.4
Expenditure quintile 4,2008,expq4,9.4,Recreational and cultural services,Rec & cultural services,subgroup,9,Recreation and culture,Recreation and culture,2.5,28.4,16.4
Expenditure quintile 4,2008,expq4,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,9,Recreation and culture,Recreation and culture,1.2,14.1,8.1
Expenditure quintile 4,2008,expq4,9.6,Accommodation services,Accomodation,subgroup,9,Recreation and culture,Recreation and culture,0.6,7.3,4.2
Expenditure quintile 4,2008,expq4,10,Education,Education,group,10,Education,Education,1.1,12.8,7.4
Expenditure quintile 4,2008,expq4,10.1,Early childhood education,Early childhood education,subgroup,10,Education,Education,0.3,3.1,1.8
Expenditure quintile 4,2008,expq4,10.2,Primary and secondary education,Primary/secondary education,subgroup,10,Education,Education,0.2,1.8,1
Expenditure quintile 4,2008,expq4,10.3,Tertiary and other post school education,Tertiary education,subgroup,10,Education,Education,0.7,7.6,4.4
Expenditure quintile 4,2008,expq4,10.4,Other educational fees,Other education,subgroup,10,Education,Education,0,0.3,0.2
Expenditure quintile 4,2008,expq4,11,Miscellaneous goods and services,Miscellaneous,group,11,Miscellaneous goods and services,Miscellaneous,8.8,99.1,57.4
Expenditure quintile 4,2008,expq4,11.1,Personal care,Personal care,subgroup,11,Miscellaneous goods and services,Miscellaneous,2.1,23.6,13.6
Expenditure quintile 4,2008,expq4,11.3,Personal effects,Personal effects,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.5,6.1,3.5
Expenditure quintile 4,2008,expq4,11.4,Insurance,Insurance,subgroup,11,Miscellaneous goods and services,Miscellaneous,4,45.4,26.3
Expenditure quintile 4,2008,expq4,11.5,Credit services,Credit services,subgroup,11,Miscellaneous goods and services,Miscellaneous,0.5,5.6,3.2
Expenditure quintile 4,2008,expq4,11.6,Other miscellaneous services,Miscellaneous services,subgroup,11,Miscellaneous goods and services,Miscellaneous,1.6,18.5,10.7
Expenditure quintile 4,2008,expq4,13,Other expenditure,Interest,group,13,Other expenditure,Interest,10.9,123.6,71.6
Expenditure quintile 4,2008,expq4,13.1,Interest payments,Interest,subgroup,13,Other expenditure,Interest,10.9,123.6,71.6
Expenditure quintile 4,2008,expq4,04.1.01,Actual rentals for housing,Rent,class,4,Housing and household utilities,Housing,6.6,74.8,43.3
Expenditure quintile 4,2008,expq4,04.4.03,Local authority rates and payments,Local authority rates,class,4,Housing and household utilities,Housing,2.3,25.7,14.9
Expenditure quintile 4,2008,expq4,04.5.01,Electricity,Electricity,class,4,Housing and household utilities,Housing,3.1,35,20.2
Expenditure quintile 4,2008,expq4,07.2.02,Petrol,Petrol,class,7,Transport,Transport,5.1,57.9,33.5
Expenditure quintile 5 (high),2008,expq5,1,Food,Food,group,1,Food,Food,15.1,258.6,149.7
Expenditure quintile 5 (high),2008,expq5,1.1,Fruit and vegetables,Fruit & veg,subgroup,1,Food,Food,2,35,20.3
Expenditure quintile 5 (high),2008,expq5,1.2,"Meat, poultry and fish",Meat,subgroup,1,Food,Food,2.5,43,24.9
Expenditure quintile 5 (high),2008,expq5,1.3,Grocery food,Grocery food,subgroup,1,Food,Food,5.1,86.3,50
Expenditure quintile 5 (high),2008,expq5,1.4,Non-alcoholic beverages,Soft drinks,subgroup,1,Food,Food,1.6,26.8,15.5
Expenditure quintile 5 (high),2008,expq5,1.5,Restaurant meals and ready-to-eat food,Restaurant meals,subgroup,1,Food,Food,4,67.5,39.1
Expenditure quintile 5 (high),2008,expq5,2,Alcoholic beverages and tobacco,Alcohol and tobacco,group,2,Alcoholic beverages and tobacco,Alcohol and tobacco,5.7,96.6,55.9
Expenditure quintile 5 (high),2008,expq5,2.1,Alcoholic beverages,Alcohol,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,4.4,74.4,43.1
Expenditure quintile 5 (high),2008,expq5,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2,Alcoholic beverages and tobacco,Alcohol and tobacco,1.3,22.1,12.8
Expenditure quintile 5 (high),2008,expq5,3,Clothing and footwear,Clothing and footwear,group,3,Clothing and footwear,Clothing and footwear,4.6,78,45.2
Expenditure quintile 5 (high),2008,expq5,3.1,Clothing,Clothing,subgroup,3,Clothing and footwear,Clothing and footwear,3.6,62.2,36
Expenditure quintile 5 (high),2008,expq5,3.2,Footwear,Footwear,subgroup,3,Clothing and footwear,Clothing and footwear,0.9,15.8,9.2
Expenditure quintile 5 (high),2008,expq5,4,Housing and household utilities,Housing,group,4,Housing and household utilities,Housing,11.8,201.2,116.5
Expenditure quintile 5 (high),2008,expq5,4.1,Actual rentals for housing,Rent,subgroup,4,Housing and household utilities,Housing,3.3,57.1,33.1
Expenditure quintile 5 (high),2008,expq5,4.3,Property maintenance,Property maintenance,subgroup,4,Housing and household utilities,Housing,2.8,48.4,28
Expenditure quintile 5 (high),2008,expq5,4.4,Property rates and related services,Property rates,subgroup,4,Housing and household utilities,Housing,2.3,39.2,22.7
Expenditure quintile 5 (high),2008,expq5,4.5,Household energy,Household energy,subgroup,4,Housing and household utilities,Housing,3.3,56.4,32.6
Expenditure quintile 5 (high),2008,expq5,5,Household contents and services,Contents and services,group,5,Household contents and services,Contents and services,5.9,101.2,58.6
Expenditure quintile 5 (high),2008,expq5,5.1,"Furniture, furnishings and floor coverings",Furniture,subgroup,5,Household contents and services,Contents and services,2.2,37.7,21.8
Expenditure quintile 5 (high),2008,expq5,5.2,Household textiles,Textiles,subgroup,5,Household contents and services,Contents and services,0.7,11.1,6.4
Expenditure quintile 5 (high),2008,expq5,5.3,Household appliances,Appliances,subgroup,5,Household contents and services,Contents and services,1.2,20.7,12
Expenditure quintile 5 (high),2008,expq5,5.4,"Glassware, tableware and household utensils",Utensils,subgroup,5,Household contents and services,Contents and services,0.4,7.2,4.2
Expenditure quintile 5 (high),2008,expq5,5.5,Tools and equipment for house and garden,Tools,subgroup,5,Household contents and services,Contents and services,0.5,8.8,5.1
Expenditure quintile 5 (high),2008,expq5,5.6,Other household supplies and services,Other supplies and services,subgroup,5,Household contents and services,Contents and services,0.9,15.7,9.1
Expenditure quintile 5 (high),2008,expq5,6,Health,Health,group,6,Health,Health,4.2,71.6,41.5
Expenditure quintile 5 (high),2008,expq5,6.1,"Medical products, appliances and equipment",Medical products,subgroup,6,Health,Health,0.9,15.2,8.8
Expenditure quintile 5 (high),2008,expq5,6.2,Out-patient services,Out-patient services,subgroup,6,Health,Health,2.9,49.1,28.4
Expenditure quintile 5 (high),2008,expq5,6.3,Hospital services,Hospital services,subgroup,6,Health,Health,0.4,7.3,4.2
Expenditure quintile 5 (high),2008,expq5,7,Transport,Transport,group,7,Transport,Transport,15.9,271.3,157.1
Expenditure quintile 5 (high),2008,expq5,7.1,Purchase of vehicles,Vehicles,subgroup,7,Transport,Transport,4.5,76.3,44.2
Expenditure quintile 5 (high),2008,expq5,7.2,Private transport supplies and services,Private transport supplies,subgroup,7,Transport,Transport,8.1,138.8,80.4
Expenditure quintile 5 (high),2008,expq5,7.3,Passenger transport services,Passenger transport,subgroup,7,Transport,Transport,3.3,56.2,32.5
Expenditure quintile 5 (high),2008,expq5,8,Communication,Communication,group,8,Communication,Communication,2.8,47.6,27.5
Expenditure quintile 5 (high),2008,expq5,8.1,Postal services,Postal services,subgroup,8,Communication,Communication,0.2,3,1.7
Expenditure quintile 5 (high),2008,expq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,8,Communication,Communication,0.2,3.9,2.3
Expenditure quintile 5 (high),2008,expq5,8.3,Telecommunication services,Telecommunication services,subgroup,8,Communication,Communication,2.4,40.7,23.5
Expenditure quintile 5 (high),2008,expq5,9,Recreation and culture,Recreation and culture,group,9,Recreation and culture,Recreation and culture,9.9,169.2,97.9
Expenditure quintile 5 (high),2008,expq5,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,9,Recreation and culture,Recreation and culture,1.8,30.7,17.8
Expenditure quintile 5 (high),2008,expq5,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,9,Recreation and culture,Recreation and culture,0.4,6.5,3.7
Expenditure quintile 5 (high),2008,expq5,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,9,Recreation and culture,Recreation and culture,2.3,38.5,22.3
Expenditure quintile 5 (high),2008,expq5,9.4,Recreational and cultural services,Rec & cultural services,subgroup,9,Recreation and culture,Recreation and culture,2.4,41.1,23.8
Expenditure quintile 5 (high),2008,expq5,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,9,Recreation and culture,Recreation and culture,1,17.4,10.1
Expenditure quintile 5 (high),2008,expq5,9.6,Accommodation services,Accomodation,subgroup,9,Recreation and culture,Recreation and culture,0.8,14.4,8.3
Expenditure quintile 5 (high),2008,expq5,10,Education,Education,group,10,Education,Education,1.9,32.6,18.9
Expenditure quintile 5 (high),2008,expq5,10.1,Early childhood education,Early childhood education,subgroup,10,Education,Education,0.2,3.9,2.3
Expenditure quintile 5 (high),2008,expq5,10.2,Primary and secondary education,Primary/secondary education,subgroup,10,Education,Education,0.7,11.8,6.8
Expenditure quintile 5 (high),2008,expq5,10.3,Tertiary and other post school education,Tertiary education,subgroup,10,Education,Education,1,16.4,9.5
Expenditure quintile 5 (high),2008,expq5,10.4,Other educational fees,Other education,subgroup,10,Education,Education,0,0.5,0.3
Expenditure quintile 5 (high),2008,expq5,11,Miscellaneous goods and services,Miscellaneous,group,11,Miscellaneous goods and services,Miscellaneous,9.9,169.7,98.2
Expenditure quintile 5 (high),2008,expq5,11.1,Personal care,Personal care,subgroup,11,Miscellaneous goods and services,Miscellaneous,2.5,42.9,24.8
