species,year,variable,units,magnitude,source,data_value,flag
Deepwater (King) Clam,2015,TACC,Tonnes,Actual,Environmental Accounts,31.5,
Deepwater (King) Clam,2016,Asset value,Dollars,Millions,Environmental Accounts,,
Deepwater (King) Clam,2016,Catch,Tonnes,Actual,Environmental Accounts,4.7,
Deepwater (King) Clam,2016,TACC,Tonnes,Actual,Environmental Accounts,31.5,
Deepwater (King) Clam,2017,Asset value,Dollars,Millions,Environmental Accounts,,
Deepwater (King) Clam,2017,Catch,Tonnes,Actual,Environmental Accounts,3.3,
Deepwater (King) Clam,2017,TACC,Tonnes,Actual,Environmental Accounts,31.5,
Deepwater (King) Clam,2018,Asset value,Dollars,Millions,Environmental Accounts,,
Deepwater (King) Clam,2018,Catch,Tonnes,Actual,Environmental Accounts,6.7,
Deepwater (King) Clam,2018,TACC,Tonnes,Actual,Environmental Accounts,31.5,
Deepwater (King) Clam,2019,Asset value,Dollars,Millions,Environmental Accounts,,P
Deepwater (King) Clam,2019,Catch,Tonnes,Actual,Environmental Accounts,6.3,P
Deepwater (King) Clam,2019,TACC,Tonnes,Actual,Environmental Accounts,31.5,P
Deepwater Tuatua,2005,Asset value,Dollars,Millions,Environmental Accounts,,
Deepwater Tuatua,2005,Catch,Tonnes,Actual,Environmental Accounts,14.3,
Deepwater Tuatua,2005,TACC,Tonnes,Actual,Environmental Accounts,168,
Deepwater Tuatua,2006,Asset value,Dollars,Millions,Environmental Accounts,,
Deepwater Tuatua,2006,Catch,Tonnes,Actual,Environmental Accounts,13.9,
Deepwater Tuatua,2006,TACC,Tonnes,Actual,Environmental Accounts,168,
Deepwater Tuatua,2007,Asset value,Dollars,Millions,Environmental Accounts,,
Deepwater Tuatua,2007,Catch,Tonnes,Actual,Environmental Accounts,21.2,
Deepwater Tuatua,2007,TACC,Tonnes,Actual,Environmental Accounts,168,
Deepwater Tuatua,2008,Asset value,Dollars,Millions,Environmental Accounts,,
Deepwater Tuatua,2008,Catch,Tonnes,Actual,Environmental Accounts,23.3,
Deepwater Tuatua,2008,TACC,Tonnes,Actual,Environmental Accounts,168,
Deepwater Tuatua,2009,Asset value,Dollars,Millions,Environmental Accounts,,
Deepwater Tuatua,2009,Catch,Tonnes,Actual,Environmental Accounts,6.9,
Deepwater Tuatua,2009,TACC,Tonnes,Actual,Environmental Accounts,168,
Deepwater Tuatua,2010,Asset value,Dollars,Millions,Environmental Accounts,,
Deepwater Tuatua,2010,Catch,Tonnes,Actual,Environmental Accounts,12.7,
Deepwater Tuatua,2010,TACC,Tonnes,Actual,Environmental Accounts,168,
Deepwater Tuatua,2011,Asset value,Dollars,Millions,Environmental Accounts,,
Deepwater Tuatua,2011,Catch,Tonnes,Actual,Environmental Accounts,42.7,
Deepwater Tuatua,2011,TACC,Tonnes,Actual,Environmental Accounts,629,
Deepwater Tuatua,2012,Asset value,Dollars,Millions,Environmental Accounts,,
Deepwater Tuatua,2012,Catch,Tonnes,Actual,Environmental Accounts,16.9,
Deepwater Tuatua,2012,TACC,Tonnes,Actual,Environmental Accounts,629,
Deepwater Tuatua,2013,Asset value,Dollars,Millions,Environmental Accounts,,
Deepwater Tuatua,2013,Catch,Tonnes,Actual,Environmental Accounts,37.1,
Deepwater Tuatua,2013,TACC,Tonnes,Actual,Environmental Accounts,629,
Deepwater Tuatua,2014,Asset value,Dollars,Millions,Environmental Accounts,,
Deepwater Tuatua,2014,Catch,Tonnes,Actual,Environmental Accounts,63.3,
Deepwater Tuatua,2014,TACC,Tonnes,Actual,Environmental Accounts,890,
Deepwater Tuatua,2015,Asset value,Dollars,Millions,Environmental Accounts,0.4,
Deepwater Tuatua,2015,Catch,Tonnes,Actual,Environmental Accounts,100.2,
Deepwater Tuatua,2015,TACC,Tonnes,Actual,Environmental Accounts,890,
Deepwater Tuatua,2016,Asset value,Dollars,Millions,Environmental Accounts,1.6,
Deepwater Tuatua,2016,Catch,Tonnes,Actual,Environmental Accounts,159.7,
Deepwater Tuatua,2016,TACC,Tonnes,Actual,Environmental Accounts,890,
Deepwater Tuatua,2017,Asset value,Dollars,Millions,Environmental Accounts,,
Deepwater Tuatua,2017,Catch,Tonnes,Actual,Environmental Accounts,216.3,
Deepwater Tuatua,2017,TACC,Tonnes,Actual,Environmental Accounts,1024,
Deepwater Tuatua,2018,Asset value,Dollars,Millions,Environmental Accounts,0,
Deepwater Tuatua,2018,Catch,Tonnes,Actual,Environmental Accounts,259.3,
Deepwater Tuatua,2018,TACC,Tonnes,Actual,Environmental Accounts,1024,
Deepwater Tuatua,2019,Asset value,Dollars,Millions,Environmental Accounts,,P
Deepwater Tuatua,2019,Catch,Tonnes,Actual,Environmental Accounts,282.1,P
Deepwater Tuatua,2019,TACC,Tonnes,Actual,Environmental Accounts,1024,P
Elephant Fish,1996,Asset value,Dollars,Millions,Environmental Accounts,7.1,
Elephant Fish,1996,TACC,Tonnes,Actual,Environmental Accounts,714.7,
Elephant Fish,1997,Asset value,Dollars,Millions,Environmental Accounts,6.1,
Elephant Fish,1997,TACC,Tonnes,Actual,Environmental Accounts,714.7,
Elephant Fish,1998,Asset value,Dollars,Millions,Environmental Accounts,7.9,
Elephant Fish,1998,TACC,Tonnes,Actual,Environmental Accounts,714.7,
Elephant Fish,1999,Asset value,Dollars,Millions,Environmental Accounts,7.9,
Elephant Fish,1999,TACC,Tonnes,Actual,Environmental Accounts,715.1,
Elephant Fish,2000,Asset value,Dollars,Millions,Environmental Accounts,7.3,
Elephant Fish,2000,TACC,Tonnes,Actual,Environmental Accounts,714.8,
Elephant Fish,2001,Asset value,Dollars,Millions,Environmental Accounts,8,
Elephant Fish,2001,TACC,Tonnes,Actual,Environmental Accounts,1039.7,
Elephant Fish,2002,Asset value,Dollars,Millions,Environmental Accounts,14.5,
Elephant Fish,2002,Catch,Tonnes,Actual,Environmental Accounts,1055.3,
Elephant Fish,2002,TACC,Tonnes,Actual,Environmental Accounts,1068.5,
Elephant Fish,2003,Asset value,Dollars,Millions,Environmental Accounts,14.7,
Elephant Fish,2003,Catch,Tonnes,Actual,Environmental Accounts,1125.7,
Elephant Fish,2003,TACC,Tonnes,Actual,Environmental Accounts,1193.5,
Elephant Fish,2004,Asset value,Dollars,Millions,Environmental Accounts,10.4,
Elephant Fish,2004,Catch,Tonnes,Actual,Environmental Accounts,1138,
Elephant Fish,2004,TACC,Tonnes,Actual,Environmental Accounts,1193.5,
Elephant Fish,2005,Asset value,Dollars,Millions,Environmental Accounts,10.3,
Elephant Fish,2005,Catch,Tonnes,Actual,Environmental Accounts,1189.6,
Elephant Fish,2005,TACC,Tonnes,Actual,Environmental Accounts,1213.5,
Elephant Fish,2006,Asset value,Dollars,Millions,Environmental Accounts,11.7,
Elephant Fish,2006,Catch,Tonnes,Actual,Environmental Accounts,1260.4,
Elephant Fish,2006,TACC,Tonnes,Actual,Environmental Accounts,1213.5,
Elephant Fish,2007,Asset value,Dollars,Millions,Environmental Accounts,15.2,
Elephant Fish,2007,Catch,Tonnes,Actual,Environmental Accounts,1250.8,
Elephant Fish,2007,TACC,Tonnes,Actual,Environmental Accounts,1213.5,
Elephant Fish,2008,Asset value,Dollars,Millions,Environmental Accounts,16.2,
Elephant Fish,2008,Catch,Tonnes,Actual,Environmental Accounts,1435.9,
Elephant Fish,2008,TACC,Tonnes,Actual,Environmental Accounts,1213.5,
Elephant Fish,2009,Asset value,Dollars,Millions,Environmental Accounts,7.2,
Elephant Fish,2009,Catch,Tonnes,Actual,Environmental Accounts,1384.2,
Elephant Fish,2009,TACC,Tonnes,Actual,Environmental Accounts,1213.5,
Elephant Fish,2010,Asset value,Dollars,Millions,Environmental Accounts,10.8,
Elephant Fish,2010,Catch,Tonnes,Actual,Environmental Accounts,1372,
Elephant Fish,2010,TACC,Tonnes,Actual,Environmental Accounts,1283.5,
Elephant Fish,2011,Asset value,Dollars,Millions,Environmental Accounts,13.8,
Elephant Fish,2011,Catch,Tonnes,Actual,Environmental Accounts,1383.6,
Elephant Fish,2011,TACC,Tonnes,Actual,Environmental Accounts,1283.5,
Elephant Fish,2012,Asset value,Dollars,Millions,Environmental Accounts,12.7,
Elephant Fish,2012,Catch,Tonnes,Actual,Environmental Accounts,1376.9,
Elephant Fish,2012,TACC,Tonnes,Actual,Environmental Accounts,1283.5,
Elephant Fish,2013,Asset value,Dollars,Millions,Environmental Accounts,12.4,
Elephant Fish,2013,Catch,Tonnes,Actual,Environmental Accounts,1435.4,
Elephant Fish,2013,TACC,Tonnes,Actual,Environmental Accounts,1313.5,
Elephant Fish,2014,Asset value,Dollars,Millions,Environmental Accounts,15.5,
Elephant Fish,2014,Catch,Tonnes,Actual,Environmental Accounts,1394.4,
Elephant Fish,2014,TACC,Tonnes,Actual,Environmental Accounts,1313.5,
Elephant Fish,2015,Asset value,Dollars,Millions,Environmental Accounts,15.4,
Elephant Fish,2015,Catch,Tonnes,Actual,Environmental Accounts,1339.6,
Elephant Fish,2015,TACC,Tonnes,Actual,Environmental Accounts,1313.5,
Elephant Fish,2016,Asset value,Dollars,Millions,Environmental Accounts,12.9,
Elephant Fish,2016,Catch,Tonnes,Actual,Environmental Accounts,1400.1,
Elephant Fish,2016,TACC,Tonnes,Actual,Environmental Accounts,1313.5,
Elephant Fish,2017,Asset value,Dollars,Millions,Environmental Accounts,16,
Elephant Fish,2017,Catch,Tonnes,Actual,Environmental Accounts,1327.6,
Elephant Fish,2017,TACC,Tonnes,Actual,Environmental Accounts,1313.5,
Elephant Fish,2018,Asset value,Dollars,Millions,Environmental Accounts,16.6,R
Elephant Fish,2018,Catch,Tonnes,Actual,Environmental Accounts,1345.9,R
Elephant Fish,2018,TACC,Tonnes,Actual,Environmental Accounts,1313.5,
Elephant Fish,2019,Asset value,Dollars,Millions,Environmental Accounts,31.2,P
Elephant Fish,2019,Catch,Tonnes,Actual,Environmental Accounts,1353.6,P
Elephant Fish,2019,TACC,Tonnes,Actual,Environmental Accounts,1463.5,P
Flats,1996,Asset value,Dollars,Millions,Environmental Accounts,30.8,
Flats,1996,TACC,Tonnes,Actual,Environmental Accounts,6670.3,
Flats,1997,Asset value,Dollars,Millions,Environmental Accounts,24,
Flats,1997,TACC,Tonnes,Actual,Environmental Accounts,6670.3,
Flats,1998,Asset value,Dollars,Millions,Environmental Accounts,20.4,
Flats,1998,TACC,Tonnes,Actual,Environmental Accounts,6670.3,
Flats,1999,Asset value,Dollars,Millions,Environmental Accounts,19.3,
Flats,1999,TACC,Tonnes,Actual,Environmental Accounts,6670.3,
Flats,2000,Asset value,Dollars,Millions,Environmental Accounts,18.3,
Flats,2000,TACC,Tonnes,Actual,Environmental Accounts,6670.3,
Flats,2001,Asset value,Dollars,Millions,Environmental Accounts,19.2,
Flats,2001,TACC,Tonnes,Actual,Environmental Accounts,6670.3,
Flats,2002,Asset value,Dollars,Millions,Environmental Accounts,21.8,
Flats,2002,Catch,Tonnes,Actual,Environmental Accounts,3088,
Flats,2002,TACC,Tonnes,Actual,Environmental Accounts,6670.3,
Flats,2003,Asset value,Dollars,Millions,Environmental Accounts,20.4,
Flats,2003,Catch,Tonnes,Actual,Environmental Accounts,3298.5,
Flats,2003,TACC,Tonnes,Actual,Environmental Accounts,6670.3,
Flats,2004,Asset value,Dollars,Millions,Environmental Accounts,18.7,
Flats,2004,Catch,Tonnes,Actual,Environmental Accounts,3208.2,
Flats,2004,TACC,Tonnes,Actual,Environmental Accounts,6670.3,
Flats,2005,Asset value,Dollars,Millions,Environmental Accounts,18.6,
Flats,2005,Catch,Tonnes,Actual,Environmental Accounts,3875.8,
Flats,2005,TACC,Tonnes,Actual,Environmental Accounts,6670.3,
Flats,2006,Asset value,Dollars,Millions,Environmental Accounts,17.8,
Flats,2006,Catch,Tonnes,Actual,Environmental Accounts,3721.4,
Flats,2006,TACC,Tonnes,Actual,Environmental Accounts,6670.3,
Flats,2007,Asset value,Dollars,Millions,Environmental Accounts,14.9,
Flats,2007,Catch,Tonnes,Actual,Environmental Accounts,4065.5,
Flats,2007,TACC,Tonnes,Actual,Environmental Accounts,6670.3,
Flats,2008,Asset value,Dollars,Millions,Environmental Accounts,17.3,
Flats,2008,Catch,Tonnes,Actual,Environmental Accounts,3632.4,
Flats,2008,TACC,Tonnes,Actual,Environmental Accounts,5418.8,
Flats,2009,Asset value,Dollars,Millions,Environmental Accounts,18.1,
Flats,2009,Catch,Tonnes,Actual,Environmental Accounts,3413,
Flats,2009,TACC,Tonnes,Actual,Environmental Accounts,5418.8,
Flats,2010,Asset value,Dollars,Millions,Environmental Accounts,31.7,
Flats,2010,Catch,Tonnes,Actual,Environmental Accounts,3273.5,
Flats,2010,TACC,Tonnes,Actual,Environmental Accounts,5418.8,
Flats,2011,Asset value,Dollars,Millions,Environmental Accounts,18,
Flats,2011,Catch,Tonnes,Actual,Environmental Accounts,2468.5,
Flats,2011,TACC,Tonnes,Actual,Environmental Accounts,5418.8,
Flats,2012,Asset value,Dollars,Millions,Environmental Accounts,50.1,
Flats,2012,Catch,Tonnes,Actual,Environmental Accounts,2864.6,
Flats,2012,TACC,Tonnes,Actual,Environmental Accounts,5418.8,
Flats,2013,Asset value,Dollars,Millions,Environmental Accounts,19.2,
Flats,2013,Catch,Tonnes,Actual,Environmental Accounts,2778.9,
Flats,2013,TACC,Tonnes,Actual,Environmental Accounts,5418.8,
Flats,2014,Asset value,Dollars,Millions,Environmental Accounts,23.3,
Flats,2014,Catch,Tonnes,Actual,Environmental Accounts,2671.4,
Flats,2014,TACC,Tonnes,Actual,Environmental Accounts,5418.8,
Flats,2015,Asset value,Dollars,Millions,Environmental Accounts,32.1,
Flats,2015,Catch,Tonnes,Actual,Environmental Accounts,2465.7,
Flats,2015,TACC,Tonnes,Actual,Environmental Accounts,5418.8,
Flats,2016,Asset value,Dollars,Millions,Environmental Accounts,54.3,
Flats,2016,Catch,Tonnes,Actual,Environmental Accounts,2792.1,
Flats,2016,TACC,Tonnes,Actual,Environmental Accounts,5418.8,
Flats,2017,Asset value,Dollars,Millions,Environmental Accounts,29.7,
Flats,2017,Catch,Tonnes,Actual,Environmental Accounts,2852,
Flats,2017,TACC,Tonnes,Actual,Environmental Accounts,5418.8,
Flats,2018,Asset value,Dollars,Millions,Environmental Accounts,65.4,R
Flats,2018,Catch,Tonnes,Actual,Environmental Accounts,2031.6,R
Flats,2018,TACC,Tonnes,Actual,Environmental Accounts,5418.8,
Flats,2019,Asset value,Dollars,Millions,Environmental Accounts,96.6,P
Flats,2019,Catch,Tonnes,Actual,Environmental Accounts,1938.8,P
Flats,2019,TACC,Tonnes,Actual,Environmental Accounts,5121.5,P
Freshwater Eels (South Island),2001,Asset value,Dollars,Millions,Environmental Accounts,6.9,
Freshwater Eels (South Island),2001,TACC,Tonnes,Actual,Environmental Accounts,420.2,
Freshwater Eels (South Island),2002,Asset value,Dollars,Millions,Environmental Accounts,6.4,
Freshwater Eels (South Island),2002,Catch,Tonnes,Actual,Environmental Accounts,213,
Freshwater Eels (South Island),2002,TACC,Tonnes,Actual,Environmental Accounts,420.2,
Freshwater Eels (South Island),2003,Asset value,Dollars,Millions,Environmental Accounts,6.3,
Freshwater Eels (South Island),2003,Catch,Tonnes,Actual,Environmental Accounts,170.1,
Freshwater Eels (South Island),2003,TACC,Tonnes,Actual,Environmental Accounts,420.2,
Freshwater Eels (South Island),2004,Asset value,Dollars,Millions,Environmental Accounts,1.1,
Freshwater Eels (South Island),2004,Catch,Tonnes,Actual,Environmental Accounts,265.4,
Freshwater Eels (South Island),2004,TACC,Tonnes,Actual,Environmental Accounts,420.2,
Freshwater Eels (South Island),2005,Asset value,Dollars,Millions,Environmental Accounts,1.6,
Freshwater Eels (South Island),2005,Catch,Tonnes,Actual,Environmental Accounts,280.5,
Freshwater Eels (South Island),2005,TACC,Tonnes,Actual,Environmental Accounts,420.2,
Freshwater Eels (South Island),2006,Asset value,Dollars,Millions,Environmental Accounts,1.2,
Freshwater Eels (South Island),2006,Catch,Tonnes,Actual,Environmental Accounts,271.9,
Freshwater Eels (South Island),2006,TACC,Tonnes,Actual,Environmental Accounts,420.2,
Freshwater Eels (South Island),2007,Asset value,Dollars,Millions,Environmental Accounts,1.2,
Freshwater Eels (South Island),2007,Catch,Tonnes,Actual,Environmental Accounts,285.4,
Freshwater Eels (South Island),2007,TACC,Tonnes,Actual,Environmental Accounts,420.2,
Freshwater Eels (South Island),2008,Asset value,Dollars,Millions,Environmental Accounts,12.1,
Freshwater Eels (South Island),2008,Catch,Tonnes,Actual,Environmental Accounts,287.7,
Freshwater Eels (South Island),2008,TACC,Tonnes,Actual,Environmental Accounts,420.2,
Freshwater Eels (South Island),2009,Asset value,Dollars,Millions,Environmental Accounts,5.5,
Freshwater Eels (South Island),2009,Catch,Tonnes,Actual,Environmental Accounts,215.2,
Freshwater Eels (South Island),2009,TACC,Tonnes,Actual,Environmental Accounts,420.2,
Freshwater Eels (South Island),2010,Asset value,Dollars,Millions,Environmental Accounts,14.2,
Freshwater Eels (South Island),2010,Catch,Tonnes,Actual,Environmental Accounts,242.9,
Freshwater Eels (South Island),2010,TACC,Tonnes,Actual,Environmental Accounts,420.2,
Freshwater Eels (South Island),2011,Asset value,Dollars,Millions,Environmental Accounts,18.3,
Freshwater Eels (South Island),2011,Catch,Tonnes,Actual,Environmental Accounts,296.3,
Freshwater Eels (South Island),2011,TACC,Tonnes,Actual,Environmental Accounts,420.2,
Freshwater Eels (South Island),2012,Asset value,Dollars,Millions,Environmental Accounts,20.3,
Freshwater Eels (South Island),2012,Catch,Tonnes,Actual,Environmental Accounts,336.8,
Freshwater Eels (South Island),2012,TACC,Tonnes,Actual,Environmental Accounts,420.2,
Freshwater Eels (South Island),2013,Asset value,Dollars,Millions,Environmental Accounts,22.6,
Freshwater Eels (South Island),2013,Catch,Tonnes,Actual,Environmental Accounts,352.3,
Freshwater Eels (South Island),2013,TACC,Tonnes,Actual,Environmental Accounts,420.2,
Freshwater Eels (South Island),2014,Asset value,Dollars,Millions,Environmental Accounts,13,
Freshwater Eels (South Island),2014,Catch,Tonnes,Actual,Environmental Accounts,298.8,
Freshwater Eels (South Island),2014,TACC,Tonnes,Actual,Environmental Accounts,420.2,
Freshwater Eels (South Island),2015,Asset value,Dollars,Millions,Environmental Accounts,15.2,
Freshwater Eels (South Island),2015,Catch,Tonnes,Actual,Environmental Accounts,243,
Freshwater Eels (South Island),2015,TACC,Tonnes,Actual,Environmental Accounts,420.2,
Freshwater Eels (South Island),2016,Asset value,Dollars,Millions,Environmental Accounts,10.2,
Freshwater Eels (South Island),2016,Catch,Tonnes,Actual,Environmental Accounts,200.8,
Freshwater Eels (South Island),2016,TACC,Tonnes,Actual,Environmental Accounts,420.2,
Freshwater Eels (South Island),2017,Asset value,Dollars,Millions,Environmental Accounts,4.9,
Freshwater Eels (South Island),2017,Catch,Tonnes,Actual,Environmental Accounts,117.9,
Freshwater Eels (South Island),2017,TACC,Tonnes,Actual,Environmental Accounts,121.9,
Frilled Venus Shell,2005,Asset value,Dollars,Millions,Environmental Accounts,,
Frilled Venus Shell,2005,Catch,Tonnes,Actual,Environmental Accounts,1.3,
Frilled Venus Shell,2005,TACC,Tonnes,Actual,Environmental Accounts,16,
Frilled Venus Shell,2006,Asset value,Dollars,Millions,Environmental Accounts,,
Frilled Venus Shell,2006,Catch,Tonnes,Actual,Environmental Accounts,0.2,
Frilled Venus Shell,2006,TACC,Tonnes,Actual,Environmental Accounts,16,
Frilled Venus Shell,2007,Asset value,Dollars,Millions,Environmental Accounts,0.9,
Frilled Venus Shell,2007,Catch,Tonnes,Actual,Environmental Accounts,0,
Frilled Venus Shell,2007,TACC,Tonnes,Actual,Environmental Accounts,16,
Frilled Venus Shell,2008,Asset value,Dollars,Millions,Environmental Accounts,0.9,
Frilled Venus Shell,2008,Catch,Tonnes,Actual,Environmental Accounts,,
Frilled Venus Shell,2008,TACC,Tonnes,Actual,Environmental Accounts,16,
Frilled Venus Shell,2009,Asset value,Dollars,Millions,Environmental Accounts,1.2,
Frilled Venus Shell,2009,Catch,Tonnes,Actual,Environmental Accounts,0,
Frilled Venus Shell,2009,TACC,Tonnes,Actual,Environmental Accounts,16,
Frilled Venus Shell,2010,Asset value,Dollars,Millions,Environmental Accounts,1.2,
Frilled Venus Shell,2010,Catch,Tonnes,Actual,Environmental Accounts,,
Frilled Venus Shell,2010,TACC,Tonnes,Actual,Environmental Accounts,16,
Frilled Venus Shell,2011,Asset value,Dollars,Millions,Environmental Accounts,1.2,
Frilled Venus Shell,2011,Catch,Tonnes,Actual,Environmental Accounts,,
Frilled Venus Shell,2011,TACC,Tonnes,Actual,Environmental Accounts,16,
Frilled Venus Shell,2012,Asset value,Dollars,Millions,Environmental Accounts,1.2,
Frilled Venus Shell,2012,Catch,Tonnes,Actual,Environmental Accounts,0.4,
Frilled Venus Shell,2012,TACC,Tonnes,Actual,Environmental Accounts,16,
Frilled Venus Shell,2013,Asset value,Dollars,Millions,Environmental Accounts,,
Frilled Venus Shell,2013,Catch,Tonnes,Actual,Environmental Accounts,1.2,
Frilled Venus Shell,2013,TACC,Tonnes,Actual,Environmental Accounts,16,
Frilled Venus Shell,2014,Asset value,Dollars,Millions,Environmental Accounts,,
Frilled Venus Shell,2014,Catch,Tonnes,Actual,Environmental Accounts,1.1,
Frilled Venus Shell,2014,TACC,Tonnes,Actual,Environmental Accounts,16,
Frilled Venus Shell,2015,Asset value,Dollars,Millions,Environmental Accounts,,
Frilled Venus Shell,2015,Catch,Tonnes,Actual,Environmental Accounts,0.9,
Frilled Venus Shell,2015,TACC,Tonnes,Actual,Environmental Accounts,16,
Frilled Venus Shell,2016,Asset value,Dollars,Millions,Environmental Accounts,,
Frilled Venus Shell,2016,Catch,Tonnes,Actual,Environmental Accounts,1,
Frilled Venus Shell,2016,TACC,Tonnes,Actual,Environmental Accounts,16,
Frilled Venus Shell,2017,Asset value,Dollars,Millions,Environmental Accounts,,
Frilled Venus Shell,2017,Catch,Tonnes,Actual,Environmental Accounts,,
Frilled Venus Shell,2017,TACC,Tonnes,Actual,Environmental Accounts,16,
Frilled Venus Shell,2018,Asset value,Dollars,Millions,Environmental Accounts,,
Frilled Venus Shell,2018,Catch,Tonnes,Actual,Environmental Accounts,,
Frilled Venus Shell,2018,TACC,Tonnes,Actual,Environmental Accounts,16,
Frilled Venus Shell,2019,Asset value,Dollars,Millions,Environmental Accounts,,P
Frilled Venus Shell,2019,Catch,Tonnes,Actual,Environmental Accounts,0,P
Frilled Venus Shell,2019,TACC,Tonnes,Actual,Environmental Accounts,16,P
Frostfish,1999,Asset value,Dollars,Millions,Environmental Accounts,2.9,
Frostfish,1999,TACC,Tonnes,Actual,Environmental Accounts,3858,
Frostfish,2000,Asset value,Dollars,Millions,Environmental Accounts,3.9,
Frostfish,2000,TACC,Tonnes,Actual,Environmental Accounts,3858,
Frostfish,2001,Asset value,Dollars,Millions,Environmental Accounts,2.7,
Frostfish,2001,TACC,Tonnes,Actual,Environmental Accounts,3858,
Frostfish,2002,Asset value,Dollars,Millions,Environmental Accounts,5.2,
Frostfish,2002,Catch,Tonnes,Actual,Environmental Accounts,2914.1,
Frostfish,2002,TACC,Tonnes,Actual,Environmental Accounts,3858,
Frostfish,2003,Asset value,Dollars,Millions,Environmental Accounts,4.5,
Frostfish,2003,Catch,Tonnes,Actual,Environmental Accounts,2251.7,
Frostfish,2003,TACC,Tonnes,Actual,Environmental Accounts,3858,
Frostfish,2004,Asset value,Dollars,Millions,Environmental Accounts,7.2,
Frostfish,2004,Catch,Tonnes,Actual,Environmental Accounts,1809,
Frostfish,2004,TACC,Tonnes,Actual,Environmental Accounts,3858,
Frostfish,2005,Asset value,Dollars,Millions,Environmental Accounts,8.8,
Frostfish,2005,Catch,Tonnes,Actual,Environmental Accounts,2661.1,
Frostfish,2005,TACC,Tonnes,Actual,Environmental Accounts,3858,
Frostfish,2006,Asset value,Dollars,Millions,Environmental Accounts,2.8,
Frostfish,2006,Catch,Tonnes,Actual,Environmental Accounts,2121.9,
Frostfish,2006,TACC,Tonnes,Actual,Environmental Accounts,3858,
Frostfish,2007,Asset value,Dollars,Millions,Environmental Accounts,2.9,
Frostfish,2007,Catch,Tonnes,Actual,Environmental Accounts,1971,
Frostfish,2007,TACC,Tonnes,Actual,Environmental Accounts,4019,
Frostfish,2008,Asset value,Dollars,Millions,Environmental Accounts,3.1,
Frostfish,2008,Catch,Tonnes,Actual,Environmental Accounts,1838.4,
Frostfish,2008,TACC,Tonnes,Actual,Environmental Accounts,4019,
Frostfish,2009,Asset value,Dollars,Millions,Environmental Accounts,3,
Frostfish,2009,Catch,Tonnes,Actual,Environmental Accounts,1370,
Frostfish,2009,TACC,Tonnes,Actual,Environmental Accounts,4019,
Frostfish,2010,Asset value,Dollars,Millions,Environmental Accounts,3,
Frostfish,2010,Catch,Tonnes,Actual,Environmental Accounts,1387.1,
Frostfish,2010,TACC,Tonnes,Actual,Environmental Accounts,4019,
Frostfish,2011,Asset value,Dollars,Millions,Environmental Accounts,3,
Frostfish,2011,Catch,Tonnes,Actual,Environmental Accounts,1105.7,
Frostfish,2011,TACC,Tonnes,Actual,Environmental Accounts,4019,
Frostfish,2012,Asset value,Dollars,Millions,Environmental Accounts,3.4,
Frostfish,2012,Catch,Tonnes,Actual,Environmental Accounts,1665.4,
Frostfish,2012,TACC,Tonnes,Actual,Environmental Accounts,4019,
Frostfish,2013,Asset value,Dollars,Millions,Environmental Accounts,4.1,
Frostfish,2013,Catch,Tonnes,Actual,Environmental Accounts,1814.3,
Frostfish,2013,TACC,Tonnes,Actual,Environmental Accounts,4019,
Frostfish,2014,Asset value,Dollars,Millions,Environmental Accounts,4.2,
Frostfish,2014,Catch,Tonnes,Actual,Environmental Accounts,2119.7,
Frostfish,2014,TACC,Tonnes,Actual,Environmental Accounts,4019,
Frostfish,2015,Asset value,Dollars,Millions,Environmental Accounts,4.2,
Frostfish,2015,Catch,Tonnes,Actual,Environmental Accounts,2322.3,
Frostfish,2015,TACC,Tonnes,Actual,Environmental Accounts,4019,
Frostfish,2016,Asset value,Dollars,Millions,Environmental Accounts,3.9,
Frostfish,2016,Catch,Tonnes,Actual,Environmental Accounts,2212,
Frostfish,2016,TACC,Tonnes,Actual,Environmental Accounts,4019,
Frostfish,2017,Asset value,Dollars,Millions,Environmental Accounts,5.9,
Frostfish,2017,Catch,Tonnes,Actual,Environmental Accounts,1985.4,
Frostfish,2017,TACC,Tonnes,Actual,Environmental Accounts,4019,
Frostfish,2018,Asset value,Dollars,Millions,Environmental Accounts,5.3,R
Frostfish,2018,Catch,Tonnes,Actual,Environmental Accounts,2693.3,
Frostfish,2018,TACC,Tonnes,Actual,Environmental Accounts,4019,
Frostfish,2019,Asset value,Dollars,Millions,Environmental Accounts,6.4,P
Frostfish,2019,Catch,Tonnes,Actual,Environmental Accounts,2869.1,P
Frostfish,2019,TACC,Tonnes,Actual,Environmental Accounts,4019,P
Garfish,2003,Asset value,Dollars,Millions,Environmental Accounts,0.4,
Garfish,2003,Catch,Tonnes,Actual,Environmental Accounts,6.1,
Garfish,2003,TACC,Tonnes,Actual,Environmental Accounts,50,
Garfish,2004,Asset value,Dollars,Millions,Environmental Accounts,0.4,
Garfish,2004,Catch,Tonnes,Actual,Environmental Accounts,11.5,
Garfish,2004,TACC,Tonnes,Actual,Environmental Accounts,50,
Garfish,2005,Asset value,Dollars,Millions,Environmental Accounts,0.3,
Garfish,2005,Catch,Tonnes,Actual,Environmental Accounts,13.8,
Garfish,2005,TACC,Tonnes,Actual,Environmental Accounts,50,
Garfish,2006,Asset value,Dollars,Millions,Environmental Accounts,0.5,
Garfish,2006,Catch,Tonnes,Actual,Environmental Accounts,8.7,
Garfish,2006,TACC,Tonnes,Actual,Environmental Accounts,50,
